product,Expected Price
"Wonder Diaper Pants - Xtra Large, 12-17 Kg",1579.8623961260723
Ultra Soft New Born Diapers - Extra Small,872.0319453024562
Gentle Baby Wipes,872.0319453024562
New Dry Diapers - Medium,485.1441815296412
Active Baby Medium (6-11 kg) - 62 Diapers,1343.6278193557243
Premium Care XXXL - 23 Diaper Pants,1060.735167114258
Baby Wipes - Gentle,54.89185349543358
"Reusable Fabric Diaper - Medium, Pink",335.58883159708256
Wonder Dry Pants - Double Extra Large Size Diapers,569.6027833851151
Premium Care XXL - 30 Diaper Pants,1014.576108493098
Premium Care Medium - 54 Diaper Pants,1014.576108493098
Breathable Premium Baby Diaper Pants With Wetness Indicator - Small,398.2154462668727
Ultra Soft Premium Pants New Born - 22 Diapers,359.57906665883684
Breathable Premium Baby Diaper Pants With Wetness Indicator - Medium,398.2154462668727
Premium Care XXL - 60 Diaper Pants,1975.2084955056837
Premium Care Medium Monthly Box Pack - 108 Diaper Pants,1921.2148723401754
"Reusable Fabic Diaper - Large, Pink",335.58883159708256
New Dry Small - 36 Diapers,536.5054908116184
New Dry Large Box Packs,2065.031528498211
Baby Happy Xtra Large - 46 Diapers,1039.2025900385495
Total Care Baby Pants Diapers - S,1247.5421248962177
"Nature Care Diaper Pants - Large, Monthly Pack",2723.4967374396842
"Total Care Baby Pants - Small, 9S",155.94276561202722
New Dry Diapers - Small Size,879.5171980518335
Total Care Large - 54 Diaper Pants,1026.7271687895873
Nature Care Diaper Pants - Small Size,452.97007012856767
"Pants - Extra Absorb Diaper, Medium Size",1216.3535717738123
Kare in Adult Diapers Medium,408.25816037228725
"Wonder Diaper Pants - Small, 4-8 Kg",1579.8623961260723
Premium Soft Diaper Pants - Large Size,896.8829844303888
New Xtra Small - 86 Diaper Pants,1014.576108493098
Dry Pants Diapers - Medium,227.1649455223523
Premium Care Small - 140 Diaper Pants,2743.345132646783
Baby Happy Wet Wipes - Silk & Cotton,235.78546160538517
Gentle Baby Wipes - (SSC) IND Offer,436.6397437136762
Easy Adult Diaper - Medium,536.4431137053737
