index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
100,"Wonder Diaper Pants - Xtra Large, 12-17 Kg",Baby Care,Diapers & Wipes,Huggies,1266.38,1398.0,Diapers,4.0,"Huggies knows that nothing is more important than the comfort and well-being of your little baby. Choosing the best diaper for your baby is an important step in ensuring the comfort of your little one during the day as well as overnight. That is why we have lovingly designed Huggies Wonder Pants for the all-round comfort of your little one. These diaper pants keep your baby comfortable in the day and help them sleep peacefully at night without any wetness irritating their skin. Their cottony-soft material is gentle on their bum keeping their precious skin perfect. And their revolutionary Dry Touch Sheet pulls the wetness away from the skin of your baby keeping it dry and hygienic for up to 12 hours. If you are looking for safe and gentle care for your little one, stock up your diaper bags and changing tables with Huggies Wonder Pants."
174,Ultra Soft New Born Diapers - Extra Small,Baby Care,Diapers & Wipes,Huggies,699.0,999.0,Diapers,3.9,Huggies ultra soft pants are our softest diaper pants. The ultra-soft range is the very best from Huggies and features cotton-like softness to gently hug your baby. Every ultra-soft diaper pant is clinically proven to help prevent rashes.
220,Gentle Baby Wipes,Baby Care,Diapers & Wipes,Himalaya,699.0,699.0,Baby Wipes,4.1,"Infused with the goodness of Aloe Vera and Indian Lotus extracts, Gentle Baby Wipes are mild enough to soothe baby's bottoms during a diaper change. The wipes can also be used to gently cleanse baby's skin. The natural ingredients ensure that the baby remains bacteria-free throughout the day. Ideal for use when travelling."
368,New Dry Diapers - Medium,Baby Care,Diapers & Wipes,Huggies,388.88,425.0,Diapers,3.8,One of the most important baby care products that you buy for your baby is diapers. A good quality diaper can help keep your baby comfortable during play as well as sleep time. Choose Huggies New Dry Diapers - these diapers are highly absorbent and help in keeping your baby’s skin dry & fresh. These diapers are suitable for your baby’s skin to ensure uninterrupted play and nap time. Huggies New Dry is available in different sizes from Small to Large to suit your baby.
501,Active Baby Medium (6-11 kg) - 62 Diapers,Baby Care,Diapers & Wipes,Pampers ,1077.02,1099.0,Diapers,4.4,"Pamper Active Baby Medium Diapers have been planned to offer utmost comfort to your kid. It keeps your baby dry, even under stress, so he can play uninterruptedly. It is flex to fit where your baby needs it nearly all."
512,Premium Care XXXL - 23 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,850.26,1149.0,Diapers,3.8,"Pampers baby-dry pants style diapers are the only pants in India with new Air Channels providing your baby with a new type of dryness overnight; breathable dryness. Magic Gel that locks wetness away for up to 12 hours of dryness. The new & improved product design enables a comfortable fit, closer to the baby’s body. Flexible waistband that adapts to baby’s movements for a comfortable fit. Baby lotion with Aloe Vera helps protect your baby’s delicate skin from diaper rash and irritation. A top layer with cotton-like soft material, for a comfortable night’s sleep. Fun exterior graphics; fun designs and characters to enjoy with your baby."
839,Baby Wipes - Gentle,Baby Care,Diapers & Wipes,Himalaya Baby,44.0,44.0,Baby Wipes,4.3,"Cleanses, Moisturizes and keeps the delicate baby skin soft. An effective combination of herbs that moisturizes and keeps your baby's delicate skin soft, Aloe Vera ensure moisture balance to keep your baby's skin soft and supple. Indian Lotus keeps the skin dry and smooth, Your baby needs gentle care and Protection.Himalaya Herbal Healthcare range of baby product are specially to ensure the health of your baby's delicate and sensitive skin. Clinically tested for mildness, these product maintain the fragile and complete well-being of your baby's skin."
1091,"Reusable Fabric Diaper - Medium, Pink",Baby Care,Diapers & Wipes,Paw Paw,269.0,269.0,Diapers,,"India's no.1 reusable diaper, Paw Paw Fabric Diaper is highly absorbant, less susceptible to skin rashes & skin allergies, unlike disposable diapers. The reusable diaper is an eco-friendly diapering option that helps to reduce disposable waste in our landfills. It has a reusable printed outer shell and super-absorbent reusable insert pad. It is very gentle for your little one's skin."
1301,Wonder Dry Pants - Double Extra Large Size Diapers,Baby Care,Diapers & Wipes,Huggies,456.58,499.0,Diapers,4.1,"Huggies knows that nothing is more important than the comfort and well-being of your little baby. Choosing the best diaper for your baby is an important step in ensuring the comfort of your little ones during the day as well as overnight. That is why we have lovingly designed Huggies Wonder Pants for the all-round comfort of your little one. These diaper pants keep your baby comfortable in the day and help them sleep peacefully at night without any wetness irritating their skin. Their cottony-soft material is gentle on their bum keeping their precious skin perfect. And the revolutionary dry touch sheet pulls the wetness away from the skin of your baby keeping it dry and hygienic for up to 12 hours. If you are looking for safe and gentle care for your little one, stock up your diaper bags and changing tables with Huggies Wonder Pants. It comes with a super-stretchy material that fits your baby like a hug of a mother. It has double leak guard to keep all worries of leakage at bay."
1303,Premium Care XXL - 30 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,813.26,1099.0,Diapers,4.5,"New Pampers Premium Pants with cotton-like soft materials is best for your baby’s delicate skin. Pampers Premium Pants contain lotion with Aloe Vera and 3 Air Channels which helps your baby’s skin breathe. Experience 5 Star comfort with unique added features like Wetness Indicator which turns Yellow to Blue indication when you may change and Disposal Tape which helps you in easy disposal of the diaper. Pampers is the No. 1 choice of Doctors for diapers. Pampers Premium Pants are available in New-born (NB), S, M, L, XL and XXL sizes."
