Country, Year, GDP (in billion USD), Inflation Rate (%), Unemployment Rate (%), Economic Growth (%)
India, 2010, 1500, 11.99, 9.60, 9.30
India, 2011, 1600, 8.50, 8.80, 7.90
India, 2012, 1700, 10.56, 8.40, 6.30
India, 2013, 1800, 9.77, 7.80, 5.90
India, 2014, 1900, 6.40, 7.20, 6.90
India, 2015, 2000, 4.90, 6.20, 7.20
India, 2016, 2100, 5.00, 5.70, 8.00
India, 2017, 2200, 3.60, 5.50, 6.70
India, 2018, 2300, 3.69, 5.00, 7.30
India, 2019, 2400, 3.40, 5.10, 6.10
India, 2020, 2500, 6.20, 6.30, -7.30
India, 2021, 2600, 5.00, 6.00, 8.40
India, 2022, 2700, 6.30, 5.80, 7.10
India, 2023, 2800, 5.50, 5.50, 6.90
India, 2024, 2900, 5.30, 5.40, 6.00
India, 2025, 3000, 5.00, 5.20, 6.20
