product,sale_price,Expected Price
Water Bottle - Orange,180.0,188.14104370041383
Pet Solitaire Container Set - Silver,499.0,521.5687822583694
"Penta Plastic Pet Water Bottle - Green, Wide Mouth",75.0,78.3921015418391
"2 Fold Umbrella - Auto-Open & Manual Close, Dark Violet",289.0,302.07089794122
Marvel Spiderman 2-In-1 Snackeez Bottle With Snack Box,269.0,281.1663375300629
Premium Square Plastic Container - Green,179.0,187.09581567985597
Glass Water Bottle - Aquaria Organic Purple,369.0,385.68913958584835
"Octa Plastic Pet Water Bottle - Light Blue, Narrow Mouth",25.0,26.130700513946366
Lunch Box/Tiffin Set - Green BB 570 2,509.0,532.0210624639479
Bite & Sip Flask And Lunch Box/Tiffin Box - Green Colour,319.0,333.4277385579556
"Glass Matt Finish Bottle With Plastic Cap - Blue, BB1324",169.0,176.64353547427743
Cube Storage Glass Jar,249.0,260.2617771189058
"Microwaveable Plastic Multiutility Bowl - Yellow, New Coral, L2272 YL",29.0,30.31161259617778
Suzzan Glass Bottle With Blue Cap,290.0,303.1161259617778
"Stainless Steel Water Bottle - Blue, BB506 3",249.0,260.2617771189058
Solitaire Storage Transparent Pet Container Set - Green Lid,409.0,427.49826040816254
Borosilicate Glass Rectangular Food Container With Green Lid,209.0,218.4526562965916
Ivory Glass Bottle - Orange & Yellow Floral,190.0,198.59332390599238
Max Fresh New Super Plastic Lunch Box/Tiffin Box - Blue,469.0,490.2119416416338
Premium Flat Square Plastic Container Set - Blue,69.0,72.12073341849197
Borosilicate Glass Round Food Container With Dark Blue Lid,239.0,249.80949691332725
"Glass Bottle With Removable Fabric Cover - Grey, BB1317",209.0,218.4526562965916
Medium Wire Hooks,219.0,228.90493650217016
"Super Tight Plastic Container - Printed, Assorted Colour",209.0,218.4526562965916
Marvel Avengers Small 304 Stainless Steel Lunch Box/Tiffin Box - HMHTLB 73357-AV,349.0,364.78457917469126
"Accurate Seal Plastic Tea, Coffee, Sugar Storage Container/Canister - Blue",129.0,134.83441465196324
Plain Container Jumbo Combo Set - Blue,469.0,490.2119416416338
Disney Frozen 304 Stainless Steel Lunch Box/Tiffin Box - HMWWLB 85274-FZ,599.0,626.0915843141549
Stainless Steel Water Bottle - Red BB 508,440.0,459.90032904545603
Borosilicate Glass Round Container With Lid - Green,249.0,260.2617771189058
Pinnacle Pride Lunch/Tiffin Kit - Yellow,600.0,627.1368123347128
"Storewell Airtight Plastic Container - Transparent, With Purple Lid",339.0,354.3322989691127
"Glass Water Bottle With Round Base - Yellow, B1367",209.0,218.4526562965916
"Executive Lunch Box - Small, T Blue",390.0,407.6389280175633
Pet Selo Container Set - Silver,279.0,291.6186177356414
"Stainless Steel Spices Bottle/Holder - Silver, BB 543",389.0,406.59369999700544
Plastic Hook/Hanger Card Self Adhesive/Stickable - BH 048,49.0,51.21617300733487
"Glass Water Bottle With Round Base - Transparent, B1364",199.0,208.00037609101307
"Plastic Container - Printed, Crystal, 14803-P",579.0,605.1870239029978
"Chota Bheem Frankie Style Long Plastic Lunch Box - With Container, Fork & Spoon, Assorted Colour",179.0,187.09581567985597
"2 Fold Umbrella - Auto-Open & Manual Close, Medium Violet",289.0,302.07089794122
"Frost Stainless Steel Bottle With Sipper Cap - Black, PXP 1004 CQ",229.0,239.3572167077487
Plastic Cloth Hangers - Blue,119.0,124.3821344463847
Easy Lock Round Plastic Container,199.0,208.00037609101307
"Max Fresh Thermoware Hot Wave Lunch Box/Tiffin Box - Inner Steel, Blue",639.0,667.9007051364691
Plastic Pro Lock 4 Side Lock Container - Brown,119.0,124.3821344463847
"Store Fresh Microwaveable Plastic Container Set - Transparent, Green, L5682C9-10",325.0,339.69910668130274
Disney Belle Princess Kids Plastic Lunch Box With Detachable Steel Tray,339.0,354.3322989691127
"Container - Polka Print, Assorted Colour",110.0,114.97508226136401
"Frost Stainless Steel Bottle With Steel Cap - Turquoise, PXP 1004 CV",229.0,239.3572167077487
Classic Printed Plastic Container Storage Set - Assorted Colour,329.0,343.88001876353417
